step,K,U,E
0,0.0000001998,-0.0374313111,-0.0374311113
1,0.0000007993,-0.0374319106,-0.0374311113
2,0.0000017984,-0.0374329097,-0.0374311113
3,0.0000031974,-0.0374343087,-0.0374311113
4,0.0000049962,-0.0374361075,-0.0374311113
5,0.0000071951,-0.0374383064,-0.0374311113
6,0.0000097942,-0.0374409055,-0.0374311112
7,0.0000127938,-0.0374439050,-0.0374311112
8,0.0000161940,-0.0374473052,-0.0374311112
9,0.0000199952,-0.0374511064,-0.0374311112
10,0.0000241977,-0.0374553089,-0.0374311112
11,0.0000288019,-0.0374599130,-0.0374311111
12,0.0000338080,-0.0374649191,-0.0374311111
13,0.0000392166,-0.0374703277,-0.0374311111
14,0.0000450280,-0.0374761391,-0.0374311111
15,0.0000512428,-0.0374823538,-0.0374311110
16,0.0000578615,-0.0374889725,-0.0374311110
17,0.0000648846,-0.0374959955,-0.0374311110
18,0.0000723126,-0.0375034236,-0.0374311109
19,0.0000801463,-0.0375112572,-0.0374311109
20,0.0000883863,-0.0375194972,-0.0374311108
21,0.0000970333,-0.0375281440,-0.0374311108
22,0.0001060879,-0.0375371986,-0.0374311107
23,0.0001155509,-0.0375466616,-0.0374311107
24,0.0001254232,-0.0375565338,-0.0374311106
25,0.0001357055,-0.0375668161,-0.0374311106
26,0.0001463987,-0.0375775092,-0.0374311105
27,0.0001575037,-0.0375886142,-0.0374311105
28,0.0001690214,-0.0376001319,-0.0374311104
29,0.0001809529,-0.0376120632,-0.0374311103
30,0.0001932990,-0.0376244093,-0.0374311103
31,0.0002060609,-0.0376371711,-0.0374311102
32,0.0002192396,-0.0376503497,-0.0374311101
33,0.0002328362,-0.0376639462,-0.0374311101
34,0.0002468518,-0.0376779618,-0.0374311100
35,0.0002612878,-0.0376923977,-0.0374311099
36,0.0002761452,-0.0377072550,-0.0374311098
37,0.0002914253,-0.0377225351,-0.0374311098
38,0.0003071295,-0.0377382391,-0.0374311097
39,0.0003232590,-0.0377543686,-0.0374311096
40,0.0003398153,-0.0377709248,-0.0374311095
41,0.0003567997,-0.0377879091,-0.0374311094
42,0.0003742138,-0.0378053231,-0.0374311093
43,0.0003920589,-0.0378231681,-0.0374311092
44,0.0004103367,-0.0378414458,-0.0374311091
45,0.0004290487,-0.0378601577,-0.0374311090
46,0.0004481964,-0.0378793054,-0.0374311089
47,0.0004677817,-0.0378988905,-0.0374311088
48,0.0004878061,-0.0379189148,-0.0374311087
49,0.0005082714,-0.0379393800,-0.0374311086
50,0.0005291793,-0.0379602878,-0.0374311085
51,0.0005505318,-0.0379816401,-0.0374311084
52,0.0005723305,-0.0380034388,-0.0374311082
53,0.0005945776,-0.0380256857,-0.0374311081
54,0.0006172748,-0.0380483828,-0.0374311080
55,0.0006404242,-0.0380715320,-0.0374311079
56,0.0006640278,-0.0380951355,-0.0374311077
57,0.0006880877,-0.0381191953,-0.0374311076
58,0.0007126060,-0.0381437135,-0.0374311075
59,0.0007375850,-0.0381686923,-0.0374311073
60,0.0007630267,-0.0381941339,-0.0374311072
61,0.0007889335,-0.0382200406,-0.0374311070
62,0.0008153077,-0.0382464146,-0.0374311069
63,0.0008421517,-0.0382732584,-0.0374311067
64,0.0008694678,-0.0383005744,-0.0374311066
65,0.0008972585,-0.0383283649,-0.0374311064
66,0.0009255263,-0.0383566326,-0.0374311063
67,0.0009542738,-0.0383853799,-0.0374311061
68,0.0009835036,-0.0384146095,-0.0374311059
69,0.0010132182,-0.0384443240,-0.0374311058
70,0.0010434206,-0.0384745262,-0.0374311056
71,0.0010741133,-0.0385052187,-0.0374311054
72,0.0011052992,-0.0385364044,-0.0374311052
73,0.0011369812,-0.0385680863,-0.0374311050
74,0.0011691622,-0.0386002671,-0.0374311049
75,0.0012018452,-0.0386329499,-0.0374311047
76,0.0012350332,-0.0386661377,-0.0374311045
77,0.0012687294,-0.0386998336,-0.0374311043
78,0.0013029367,-0.0387340408,-0.0374311041
79,0.0013376586,-0.0387687624,-0.0374311039
80,0.0013728981,-0.0388040017,-0.0374311037
81,0.0014086587,-0.0388397621,-0.0374311034
82,0.0014449437,-0.0388760469,-0.0374311032
83,0.0014817566,-0.0389128596,-0.0374311030
84,0.0015191009,-0.0389502037,-0.0374311028
85,0.0015569801,-0.0389880827,-0.0374311025
86,0.0015953979,-0.0390265002,-0.0374311023
87,0.0016343581,-0.0390654601,-0.0374311021
88,0.0016738642,-0.0391049661,-0.0374311018
89,0.0017139203,-0.0391450219,-0.0374311016
90,0.0017545302,-0.0391856315,-0.0374311013
91,0.0017956978,-0.0392267988,-0.0374311011
92,0.0018374272,-0.0392685280,-0.0374311008
93,0.0018797225,-0.0393108231,-0.0374311005
94,0.0019225879,-0.0393536882,-0.0374311003
95,0.0019660277,-0.0393971277,-0.0374311000
96,0.0020100461,-0.0394411458,-0.0374310997
97,0.0020546476,-0.0394857471,-0.0374310994
98,0.0020998367,-0.0395309359,-0.0374310991
99,0.0021456179,-0.0395767167,-0.0374310988
100,0.0021919959,-0.0396230944,-0.0374310985
101,0.0022389753,-0.0396700735,-0.0374310982
102,0.0022865610,-0.0397176589,-0.0374310979
103,0.0023347578,-0.0397658554,-0.0374310976
104,0.0023835708,-0.0398146680,-0.0374310973
105,0.0024330049,-0.0398641018,-0.0374310970
106,0.0024830653,-0.0399141619,-0.0374310966
107,0.0025337573,-0.0399648535,-0.0374310963
108,0.0025850861,-0.0400161820,-0.0374310959
109,0.0026370571,-0.0400681527,-0.0374310956
110,0.0026896759,-0.0401207711,-0.0374310952
111,0.0027429481,-0.0401740429,-0.0374310949
112,0.0027968792,-0.0402279737,-0.0374310945
113,0.0028514752,-0.0402825693,-0.0374310941
114,0.0029067419,-0.0403378357,-0.0374310937
115,0.0029626853,-0.0403937787,-0.0374310933
116,0.0030193115,-0.0404504044,-0.0374310929
117,0.0030766266,-0.0405077191,-0.0374310925
118,0.0031346370,-0.0405657291,-0.0374310921
119,0.0031933491,-0.0406244408,-0.0374310917
120,0.0032527694,-0.0406838606,-0.0374310913
121,0.0033129045,-0.0407439953,-0.0374310909
122,0.0033737611,-0.0408048515,-0.0374310904
123,0.0034353462,-0.0408664362,-0.0374310900
124,0.0034976667,-0.0409287562,-0.0374310895
125,0.0035607297,-0.0409918187,-0.0374310890
126,0.0036245424,-0.0410556309,-0.0374310886
127,0.0036891121,-0.0411202002,-0.0374310881
128,0.0037544464,-0.0411855340,-0.0374310876
129,0.0038205529,-0.0412516400,-0.0374310871
130,0.0038874392,-0.0413185258,-0.0374310866
131,0.0039551132,-0.0413861993,-0.0374310861
132,0.0040235830,-0.0414546685,-0.0374310855
133,0.0040928566,-0.0415239416,-0.0374310850
134,0.0041629424,-0.0415940269,-0.0374310845
135,0.0042338488,-0.0416649328,-0.0374310839
136,0.0043055844,-0.0417366678,-0.0374310833
137,0.0043781579,-0.0418092406,-0.0374310828
138,0.0044515781,-0.0418826603,-0.0374310822
