step,K,U,E
0,1061.2150100049,868.1179714497,1929.3329814546
1,1831.0536061306,183.3567407796,2014.4103469102
2,2008.8247633007,34.9878532184,2043.8126165192
3,2046.2293957930,3.5424244771,2049.7718202701
4,2054.2942300972,-3.2633241732,2051.0309059240
5,2055.8644712524,-4.5448352082,2051.3196360442
6,2055.9695939040,-4.5807146439,2051.3888792601
7,2055.7889108400,-4.3840978075,2051.4048130326
8,2055.5979384021,-4.1904706301,2051.4074677720
9,2055.4500357467,-4.0430082096,2051.4070275371
10,2055.3454245266,-3.9393226989,2051.4061018277
11,2055.2742711991,-3.8689700374,2051.4053011617
12,2055.2271375699,-3.8224243063,2051.4047132637
13,2055.1968829853,-3.7925789434,2051.4043040419
14,2055.1784801349,-3.7744561889,2051.4040239460
15,2055.1684717588,-3.7646392912,2051.4038324677
16,2055.1644895397,-3.7607888015,2051.4037007382
17,2055.1649023182,-3.7612931456,2051.4036091726
18,2055.1685750029,-3.7650302856,2051.4035447173
19,2055.1747072317,-3.7712085281,2051.4034987037
20,2055.1827261043,-3.7792607481,2051.4034653562
21,2055.1922147312,-3.7887739303,2051.4034408008
22,2055.2028643521,-3.7994419359,2051.4034224162
23,2055.2144419849,-3.8110335730,2051.4034084119
24,2055.2267683660,-3.8233708127,2051.4033975533
25,2055.2397027637,-3.8363137834,2051.4033889803
26,2055.2531324250,-3.8497503363,2051.4033820887
27,2055.2669651721,-3.8635887224,2051.4033764497
28,2055.2811241643,-3.8777524078,2051.4033717565
29,2055.2955441595,-3.8921763716,2051.4033677879
30,2055.3101688252,-3.9068044421,2051.4033643831
31,2055.3249487897,-3.9215873656,2051.4033614241
32,2055.3398402194,-3.9364813953,2051.4033588240
33,2055.3548037729,-3.9514472547,2051.4033565182
34,2055.3698038270,-3.9664493634,2051.4033544636
35,2055.3848078993,-3.9814552867,2051.4033526126
36,2055.3997862142,-3.9964352713,2051.4033509429
37,2055.4147113741,-4.0113619411,2051.4033494330
38,2055.4295581069,-4.0262100409,2051.4033480660
39,2055.4443030712,-4.0409562423,2051.4033468289
40,2055.4589247015,-4.0555789906,2051.4033457109
41,2055.4734030854,-4.0700583819,2051.4033447035
42,2055.4877198621,-4.0843760628,2051.4033437993
43,2055.5018581382,-4.0985151460,2051.4033429922
44,2055.5158024148,-4.1124601380,2051.4033422768
45,2055.5295385231,-4.1261968748,2051.4033416483
46,2055.5430535672,-4.1397124648,2051.4033411024
47,2055.5563358697,-4.1529952347,2051.4033406349
48,2055.5693749219,-4.1660346798,2051.4033402422
49,2055.5821613355,-4.1788214151,2051.4033399204
50,2055.5946867952,-4.1913471290,2051.4033396662
51,2055.6069440137,-4.2036045376,2051.4033394761
52,2055.6189266861,-4.2155873393,2051.4033393469
53,2055.6306294460,-4.2272901708,2051.4033392752
54,2055.6420478209,-4.2387085630,2051.4033392579
55,2055.6531781893,-4.2498388974,2051.4033392919
56,2055.6640177373,-4.2606783631,2051.4033393741
57,2055.6745644158,-4.2712249142,2051.4033395016
58,2055.6848168990,-4.2814772276,2051.4033396714
59,2055.6947745426,-4.2914346619,2051.4033398806
60,2055.7044373432,-4.3010972167,2051.4033401265
61,2055.7138058985,-4.3104654921,2051.4033404064
62,2055.7228813683,-4.3195406563,2051.4033407120
63,2055.7316654362,-4.3283243843,2051.4033410519
64,2055.7401602729,-4.3368188548,2051.4033414182
65,2055.7483685000,-4.3450266917,2051.4033418083
66,2055.7562931553,-4.3529509352,2051.4033422201
67,2055.7639376592,-4.3605950079,2051.4033426513
68,2055.7713057821,-4.3679626823,2051.4033430999
69,2055.7784016139,-4.3750580501,2051.4033435638
70,2055.7852295331,-4.3818854920,2051.4033440411
71,2055.7917941794,-4.3884496493,2051.4033445301
72,2055.7981004255,-4.3947553965,2051.4033450290
73,2055.8041533516,-4.4008078155,2051.4033455362
74,2055.8099582210,-4.4066121709,2051.4033460501
75,2055.8155204559,-4.4121738866,2051.4033465693
76,2055.8208456162,-4.4174985238,2051.4033470924
77,2055.8259393779,-4.4225917597,2051.4033476182
78,2055.8308075141,-4.4274593686,2051.4033481455
79,2055.8354558760,-4.4321072028,2051.4033486732
80,2055.8398903759,-4.4365411757,2051.4033492002
81,2055.8441169709,-4.4407672453,2051.4033497256
82,2055.8481416480,-4.4447913994,2051.4033502486
83,2055.8519704098,-4.4486196416,2051.4033507682
84,2055.8556092618,-4.4522579780,2051.4033512838
85,2055.8590642000,-4.4557124053,2051.4033517947
86,2055.8623412001,-4.4589888997,2051.4033523003
87,2055.8654462069,-4.4620934069,2051.4033528000
88,2055.8683851255,-4.4650318322,2051.4033532933
89,2055.8711638122,-4.4678100324,2051.4033537798
90,2055.8737880666,-4.4704338076,2051.4033542590
91,2055.8762636253,-4.4729088947,2051.4033547306
92,2055.8785961547,-4.4752409604,2051.4033551943
93,2055.8807912455,-4.4774355957,2051.4033556498
94,2055.8828544079,-4.4794983111,2051.4033560968
95,2055.8847910667,-4.4814345314,2051.4033565353
96,2055.8866065572,-4.4832495923,2051.4033569649
97,2055.8883061221,-4.4849487365,2051.4033573856
98,2055.8898949083,-4.4865371110,2051.4033577973
99,2055.8913779641,-4.4880197643,2051.4033581999
100,2055.8927602374,-4.4894016441,2051.4033585932
101,2055.8940465735,-4.4906875960,2051.4033589774
102,2055.8952417141,-4.4918823617,2051.4033593524
103,2055.8963502961,-4.4929905779,2051.4033597182
104,2055.8973768504,-4.4940167756,2051.4033600748
105,2055.8983258020,-4.4949653796,2051.4033604223
106,2055.8992014693,-4.4958407085,2051.4033607608
107,2055.9000080643,-4.4966469741,2051.4033610902
108,2055.9007496928,-4.4973882821,2051.4033614107
109,2055.9014303546,-4.4980686322,2051.4033617224
110,2055.9020539444,-4.4986919191,2051.4033620253
111,2055.9026242522,-4.4992619326,2051.4033623197
112,2055.9031449646,-4.4997823591,2051.4033626055
113,2055.9036196654,-4.5002567823,2051.4033628830
114,2055.9040518369,-4.5006886846,2051.4033631523
115,2055.9044448613,-4.5010814478,2051.4033634135
116,2055.9048020220,-4.5014383552,2051.4033636668
117,2055.9051265046,-4.5017625924,2051.4033639122
118,2055.9054213991,-4.5020572491,2051.4033641500
119,2055.9056897008,-4.5023253206,2051.4033643802
120,2055.9059343125,-4.5025697094,2051.4033646032
121,2055.9061580456,-4.5027932267,2051.4033648189
122,2055.9063636221,-4.5029985945,2051.4033650275
123,2055.9065536762,-4.5031884469,2051.4033652293
124,2055.9067307561,-4.5033653318,2051.4033654243
125,2055.9068973258,-4.5035317131,2051.4033656128
126,2055.9070557668,-4.5036899720,2051.4033657948
127,2055.9072083797,-4.5038424092,2051.4033659705
128,2055.9073573863,-4.5039912462,2051.4033661400
129,2055.9075049310,-4.5041386274,2051.4033663036
130,2055.9076530830,-4.5042866162,2051.4033664669
131,2055.9078038377,-4.5044372187,2051.4033666190
132,2055.9079591183,-4.5045923528,2051.4033667655
133,2055.9081207780,-4.5047538714,2051.4033669066
134,2055.9082906013,-4.5049235589,2051.4033670424
135,2055.9084703059,-4.5051031328,2051.4033671731
136,2055.9086615440,-4.5052942452,2051.4033672988
