step,K,U,E
0,0.0226766679,-0.9880772555,-0.9654005876
1,0.0902364764,-1.0555408281,-0.9653043517
2,0.2013889996,-1.1592967255,-0.9579077258
3,0.3539357498,-1.3193517794,-0.9654160296
4,0.5448814636,-1.5083763600,-0.9634948965
5,0.7708050768,-1.7303803829,-0.9595753061
6,1.0275952180,-1.9914413160,-0.9638460980
7,1.3108824236,-2.2695648690,-0.9586824454
8,1.6161732679,-2.5749414061,-0.9587681382
9,1.9385589654,-2.9039353808,-0.9653764154
10,2.2734032505,-3.2397350213,-0.9663317708
11,2.6166464980,-3.5755747320,-0.9589282340
12,2.9640459829,-3.9286260659,-0.9645800830
13,3.3117020149,-4.2736687927,-0.9619667778
14,3.6563969087,-4.6187283627,-0.9623314540
15,3.9949351557,-4.9624897676,-0.9675546120
16,4.3249101311,-5.2892081232,-0.9642979921
17,4.6444519851,-5.6073634351,-0.9629114501
18,4.9517741457,-5.9145722404,-0.9627980948
19,5.2455731865,-6.2071410349,-0.9615678484
20,5.5248572769,-6.4881237679,-0.9632664910
21,5.7888582472,-6.7544712246,-0.9656129775
22,6.0373470466,-7.0015752296,-0.9642281830
23,6.2702227569,-7.2369179036,-0.9666951466
24,6.4876055816,-7.4523077840,-0.9647022024
25,6.6898403957,-7.6546687908,-0.9648283952
26,6.8772554439,-7.8421038686,-0.9648484246
27,7.0503705888,-8.0151833503,-0.9648127616
28,7.2097611850,-8.1744892843,-0.9647280993
29,7.3560921802,-8.3198039545,-0.9637117744
30,7.4900258259,-8.4542532082,-0.9642273823
31,7.6122121000,-8.5764033880,-0.9641912880
32,7.7233921685,-8.6866567212,-0.9632645526
33,7.8242566726,-8.7881338202,-0.9638771475
34,7.9154371920,-8.8796893469,-0.9642521549
35,7.9977055070,-8.9609669159,-0.9632614089
36,8.0716857739,-9.0358307354,-0.9641449615
37,8.1379331104,-9.1024298606,-0.9644967502
38,8.1971134721,-9.1612662822,-0.9641528100
39,8.2498121550,-9.2128967521,-0.9630845971
40,8.2965225092,-9.2602126045,-0.9636900953
41,8.3377090744,-9.3012715108,-0.9635624365
42,8.3738847091,-9.3376220265,-0.9637373175
43,8.4054797155,-9.3689485817,-0.9634688662
44,8.4328742371,-9.3968593622,-0.9639851251
45,8.4564501341,-9.4202718253,-0.9638216912
46,8.4765758188,-9.4402133363,-0.9636375176
47,8.4935786984,-9.4567635849,-0.9631848864
48,8.5077370252,-9.4708372562,-0.9631002310
49,8.5193224099,-9.4827897273,-0.9634673174
50,8.5285840739,-9.4917953320,-0.9632112581
51,8.5357499977,-9.4996064358,-0.9638564382
52,8.5410337166,-9.5044394596,-0.9634057430
53,8.5446391517,-9.5077475219,-0.9631083702
54,8.5467412870,-9.5101030347,-0.9633617477
55,8.5474947699,-9.5108247303,-0.9633299604
56,8.5470499399,-9.5101988536,-0.9631489137
57,8.5455492771,-9.5086752766,-0.9631259994
58,8.5431223265,-9.5064024834,-0.9632801569
59,8.5398703497,-9.5036342988,-0.9637639491
60,8.5358901489,-9.4992014804,-0.9633113315
61,8.5312821032,-9.4945317559,-0.9632496527
62,8.5261244604,-9.4899289452,-0.9638044847
63,8.5205009978,-9.4839086377,-0.9634076399
64,8.5144820545,-9.4774602870,-0.9629782325
65,8.5081223312,-9.4714862946,-0.9633639633
66,8.5014795755,-9.4645737243,-0.9630941488
67,8.4946058267,-9.4580551700,-0.9634493433
68,8.4875477083,-9.4511754927,-0.9636277844
69,8.4803467360,-9.4436529182,-0.9633061822
70,8.4730419858,-9.4363609619,-0.9633189761
71,8.4656655034,-9.4288580126,-0.9631925091
72,8.4582463201,-9.4217514949,-0.9635051748
73,8.4508121744,-9.4139771913,-0.9631650169
74,8.4433850281,-9.4067316141,-0.9633465860
75,8.4359853742,-9.3994807938,-0.9634954196
76,8.4286365132,-9.3919062541,-0.9632697409
77,8.4213555853,-9.3845386112,-0.9631830259
78,8.4141518455,-9.3774171328,-0.9632652873
79,8.4070408632,-9.3702510848,-0.9632102216
80,8.4000347808,-9.3631256034,-0.9630908226
81,8.3931413676,-9.3564032611,-0.9632618935
82,8.3863729847,-9.3495813268,-0.9632083421
83,8.3797350281,-9.3429304392,-0.9631954112
84,8.3732340275,-9.3365076062,-0.9632735787
85,8.3668745517,-9.3301612823,-0.9632867306
86,8.3606582049,-9.3240805463,-0.9634223414
87,8.3545928110,-9.3176219643,-0.9630291532
88,8.3486794533,-9.3119654033,-0.9632859500
89,8.3429206116,-9.3061782903,-0.9632576787
90,8.3373212097,-9.3007035697,-0.9633823600
91,8.3318790513,-9.2950729002,-0.9631938490
92,8.3265957870,-9.2898503016,-0.9632545146
93,8.3214726808,-9.2845679184,-0.9630952376
94,8.3165062188,-9.2799426532,-0.9634364343
95,8.3116970376,-9.2752405502,-0.9635435126
96,8.3070482335,-9.2702857116,-0.9632374782
97,8.3025568937,-9.2660909287,-0.9635340350
98,8.2982195643,-9.2613804712,-0.9631609069
99,8.2940364801,-9.2573426752,-0.9633061951
100,8.2900067588,-9.2534609080,-0.9634541492
101,8.2861293833,-9.2495913785,-0.9634619952
102,8.2824037554,-9.2455740334,-0.9631702780
103,8.2788267415,-9.2419903412,-0.9631635997
104,8.2753949970,-9.2384926377,-0.9630976407
105,8.2721074788,-9.2355105352,-0.9634030564
106,8.2689623433,-9.2321224873,-0.9631601441
107,8.2659564150,-9.2292033257,-0.9632469107
108,8.2630917834,-9.2262142698,-0.9631224864
109,8.2603660458,-9.2233277325,-0.9629616868
110,8.2577718536,-9.2210841333,-0.9633122798
111,8.2553083077,-9.2184783739,-0.9631700661
112,8.2529737228,-9.2163366932,-0.9633629705
113,8.2507675916,-9.2141107041,-0.9633431126
114,8.2486875146,-9.2119522261,-0.9632647116
115,8.2467294816,-9.2101952705,-0.9634657889
116,8.2448930059,-9.2081984095,-0.9633054037
117,8.2431796991,-9.2063614737,-0.9631817746
118,8.2415851304,-9.2051580283,-0.9635728979
119,8.2401047524,-9.2033200703,-0.9632153178
120,8.2387379649,-9.2020456025,-0.9633076376
121,8.2374824580,-9.2006907286,-0.9632082705
122,8.2363372469,-9.1994532594,-0.9631160125
123,8.2352985778,-9.1988334308,-0.9635348530
124,8.2343650011,-9.1975703709,-0.9632053698
125,8.2335359941,-9.1967654620,-0.9632294680
126,8.2328111476,-9.1958985639,-0.9630874164
127,8.2321894965,-9.1953328585,-0.9631433620
128,8.2316664534,-9.1947081428,-0.9630416894
129,8.2312392636,-9.1946070342,-0.9633677706
130,8.2309081961,-9.1940269477,-0.9631187516
131,8.2306725742,-9.1937472146,-0.9630746404
132,8.2305313183,-9.1939279994,-0.9633966811
133,8.2304816261,-9.1936593429,-0.9631777168
134,8.2305214809,-9.1936523305,-0.9631308495
135,8.2306500818,-9.1938536833,-0.9632036015
136,8.2308646277,-9.1940959003,-0.9632312726
137,8.2311659272,-9.1944875081,-0.9633215809
138,8.2315539021,-9.1950811280,-0.9635272259
139,8.2320246089,-9.1950903105,-0.9630657016
140,8.2325767605,-9.1955749684,-0.9629982079
141,8.2332112589,-9.1965141493,-0.9633028904
142,8.2339266811,-9.1970844373,-0.9631577561
143,8.2347201655,-9.1979031300,-0.9631829645
144,8.2355919420,-9.1989214678,-0.9633295258
145,8.2365407594,-9.1996431964,-0.9631024370
146,8.2375652559,-9.2007047506,-0.9631394947
147,8.2386642265,-9.2020177230,-0.9633534965
148,8.2398348823,-9.2029224884,-0.9630876061
149,8.2410793238,-9.2042729957,-0.9631936720
150,8.2423952284,-9.2056507601,-0.9632555318
151,8.2437811602,-9.2070161547,-0.9632349945
152,8.2452376073,-9.2083203455,-0.9630827382
153,8.2467621752,-9.2101974490,-0.9634352738
154,8.2483538784,-9.2117063311,-0.9633524527
155,8.2500142343,-9.2135065891,-0.9634923548
156,8.2517415765,-9.2150129297,-0.9632713532
157,8.2535331468,-9.2167761646,-0.9632430178
158,8.2553881074,-9.2186295948,-0.9632414874
159,8.2573056195,-9.2205563782,-0.9632507587
160,8.2592868513,-9.2227862770,-0.9634994257
161,8.2613294957,-9.2246748951,-0.9633453994
162,8.2634317952,-9.2266697273,-0.9632379321
163,8.2655950787,-9.2288341541,-0.9632390754
164,8.2678170652,-9.2308914384,-0.9630743732
165,8.2700968280,-9.2333711670,-0.9632743390
166,8.2724349154,-9.2357547468,-0.9633198314
167,8.2748304327,-9.2380077112,-0.9631772785
168,8.2772835683,-9.2408679433,-0.9635843750
169,8.2797921777,-9.2428866176,-0.9630944399
170,8.2823545805,-9.2454620152,-0.9631074347
171,8.2849697717,-9.2481458412,-0.9631760695
172,8.2876374414,-9.2507684324,-0.9631309909
173,8.2903569013,-9.2535695576,-0.9632126563
174,8.2931286209,-9.2565682727,-0.9634396518
175,8.2959521490,-9.2593642174,-0.9634120685
176,8.2988249378,-9.2619393110,-0.9631143732
177,8.3017473159,-9.2649227152,-0.9631753993
178,8.3047189391,-9.2679494366,-0.9632304974
179,8.3077363386,-9.2708623393,-0.9631260007
180,8.3108009526,-9.2742514792,-0.9634505266
181,8.3139135694,-9.2773163291,-0.9634027597
182,8.3170706945,-9.2802608237,-0.9631901292
183,8.3202731222,-9.2833181566,-0.9630450343
184,8.3235187690,-9.2866444656,-0.9631256966
185,8.3268062148,-9.2899621559,-0.9631559411
186,8.3301365830,-9.2934660850,-0.9633295020
187,8.3335093197,-9.2967004526,-0.9631911329
188,8.3369223403,-9.3002684906,-0.9633461503
189,8.3403738487,-9.3037423208,-0.9633684721
190,8.3438658081,-9.3071647534,-0.9632989453
191,8.3473960296,-9.3107439307,-0.9633479011
192,8.3509618143,-9.3140988741,-0.9631370598
193,8.3545642157,-9.3179182270,-0.9633540113
194,8.3582045601,-9.3212467754,-0.9630422152
195,8.3618802430,-9.3252302350,-0.9633499920
196,8.3655893648,-9.3289104455,-0.9633210806
197,8.3693319857,-9.3325686820,-0.9632366963
198,8.3731050504,-9.3363541747,-0.9632491244
199,8.3769099506,-9.3401309611,-0.9632210105
200,8.3807476535,-9.3439151453,-0.9631674918
201,8.3846159279,-9.3479355990,-0.9633196711
202,8.3885124742,-9.3520575390,-0.9635450649
203,8.3924378579,-9.3556547447,-0.9632168868
204,8.3963926516,-9.3596336764,-0.9632410249
205,8.4003719645,-9.3633095415,-0.9629375770
206,8.4043755104,-9.3675230212,-0.9631475109
207,8.4084063091,-9.3716161849,-0.9632098759
208,8.4124634460,-9.3757544365,-0.9632909904
209,8.4165426373,-9.3798234656,-0.9632808283
210,8.4206427746,-9.3838103790,-0.9631676044
211,8.4247666445,-9.3878688134,-0.9631021689
212,8.4289113329,-9.3922135054,-0.9633021726
213,8.4330740452,-9.3963508822,-0.9632768370
214,8.4372558772,-9.4005538883,-0.9632980111
215,8.4414587683,-9.4048117093,-0.9633529410
216,8.4456795536,-9.4089536454,-0.9632740919
217,8.4499147234,-9.4131506537,-0.9632359303
218,8.4541676331,-9.4176210864,-0.9634534533
219,8.4584376089,-9.4220588565,-0.9636212476
220,8.4627216207,-9.4261557257,-0.9634341049
221,8.4670160335,-9.4301894522,-0.9631734187
222,8.4713228005,-9.4347748303,-0.9634520298
223,8.4756433474,-9.4388713331,-0.9632279858
224,8.4799764187,-9.4434069209,-0.9634305023
225,8.4843211820,-9.4475775601,-0.9632563782
226,8.4886745874,-9.4519331696,-0.9632585822
227,8.4930356030,-9.4562265384,-0.9631909354
228,8.4974034604,-9.4606841876,-0.9632807271
229,8.5017799607,-9.4652263030,-0.9634463423
230,8.5061639295,-9.4693574976,-0.9631935681
231,8.5105520755,-9.4736440257,-0.9630919503
232,8.5149462815,-9.4784402277,-0.9634939462
233,8.5193457652,-9.4826405495,-0.9632947843
234,8.5237494475,-9.4869737644,-0.9632243169
235,8.5281565051,-9.4912622169,-0.9631057119
236,8.5325660571,-9.4956783996,-0.9631123426
237,8.5369775114,-9.4999751837,-0.9629976723
238,8.5413903839,-9.5045984896,-0.9632081056
239,8.5458061357,-9.5089819768,-0.9631758411
240,8.5502244368,-9.5135709838,-0.9633465470
241,8.5546445786,-9.5179940481,-0.9633494695
242,8.5590648022,-9.5224348926,-0.9633700904
243,8.5634821661,-9.5267456386,-0.9632634725
244,8.5678968535,-9.5312985442,-0.9634016907
245,8.5723131797,-9.5358363266,-0.9635231469
246,8.5767278405,-9.5400273847,-0.9632995442
247,8.5811375511,-9.5442625732,-0.9631250221
248,8.5855473532,-9.5491249422,-0.9635775890
249,8.5899565157,-9.5531898387,-0.9632333230
250,8.5943614884,-9.5576431513,-0.9632816629
251,8.5987648161,-9.5623095366,-0.9635447205
252,8.6031627723,-9.5661916735,-0.9630289012
253,8.6075554588,-9.5710501070,-0.9634946482
254,8.6119453927,-9.5749453209,-0.9629999281
255,8.6163320696,-9.5797210445,-0.9633889749
256,8.6207177557,-9.5838738366,-0.9631560809
257,8.6250994657,-9.5882550154,-0.9631555497
258,8.6294796811,-9.5928027175,-0.9633230364
259,8.6338607445,-9.5973349827,-0.9634742381
260,8.6382375557,-9.6014732460,-0.9632356903
261,8.6426092242,-9.6060869427,-0.9634777185
262,8.6469781234,-9.6099266833,-0.9629485599
263,8.6513450585,-9.6144917138,-0.9631466553
264,8.6557127418,-9.6190608988,-0.9633481569
265,8.6600810804,-9.6235267517,-0.9634456713
266,8.6644479595,-9.6279113738,-0.9634634143
267,8.6688154496,-9.6319432107,-0.9631277610
268,8.6731841143,-9.6365380531,-0.9633539388
269,8.6775536678,-9.6408265110,-0.9632728432
270,8.6819240474,-9.6451073150,-0.9631832676
271,8.6862967806,-9.6493541616,-0.9630573810
272,8.6906769080,-9.6540587696,-0.9633818615
273,8.6950628476,-9.6584593867,-0.9633965391
274,8.6994526093,-9.6626414527,-0.9631888435
275,8.7038515006,-9.6673695939,-0.9635180933
276,8.7082582679,-9.6713134933,-0.9630552254
277,8.7126736536,-9.6759985989,-0.9633249453
278,8.7171005802,-9.6803616217,-0.9632610415
279,8.7215399094,-9.6847908920,-0.9632509827
280,8.7259952225,-9.6895683868,-0.9635731643
281,8.7304652572,-9.6934797584,-0.9630145012
282,8.7349511830,-9.6982098372,-0.9632586543
283,8.7394565179,-9.7025712873,-0.9631147694
284,8.7439824765,-9.7073045494,-0.9633220728
285,8.7485316755,-9.7118235704,-0.9632918950
286,8.7531076037,-9.7166697152,-0.9635621115
287,8.7577119685,-9.7213241936,-0.9636122252
288,8.7623443132,-9.7255420055,-0.9631976922
289,8.7670071668,-9.7304972086,-0.9634900417
290,8.7717029876,-9.7350517571,-0.9633487695
291,8.7764349394,-9.7398081597,-0.9633732203
292,8.7812061552,-9.7445518732,-0.9633457180
293,8.7860177229,-9.7493345367,-0.9633168139
294,8.7908750101,-9.7543855797,-0.9635105696
295,8.7957799512,-9.7588279452,-0.9630479940
296,8.8007341169,-9.7642643729,-0.9635302561
297,8.8057415542,-9.7689299750,-0.9631884208
298,8.8108050156,-9.7739734722,-0.9631684566
299,8.8159277173,-9.7791104704,-0.9631827531
300,8.8211138495,-9.7845822961,-0.9634684467
301,8.8263664828,-9.7893500069,-0.9629835242
302,8.8316885191,-9.7946002678,-0.9629117487
303,8.8370835807,-9.8000164552,-0.9629328745
304,8.8425573006,-9.8057777802,-0.9632204795
305,8.8481140193,-9.8119284166,-0.9638143974
306,8.8537565232,-9.8171655785,-0.9634090553
307,8.8594869927,-9.8222175745,-0.9627305818
308,8.8653105581,-9.8284312609,-0.9631207028
309,8.8712339866,-9.8344459323,-0.9632119458
310,8.8772596956,-9.8405747389,-0.9633150433
311,8.8833929429,-9.8465853552,-0.9631924122
312,8.8896380740,-9.8526503410,-0.9630122670
313,8.8959997007,-9.8592805570,-0.9632808563
314,8.9024823751,-9.8654760039,-0.9629936287
315,8.9090908383,-9.8721644727,-0.9630736344
316,8.9158300303,-9.8789030363,-0.9630730060
317,8.9227052323,-9.8859873926,-0.9632821603
318,8.9297219582,-9.8928475477,-0.9631255895
319,8.9368845282,-9.8998557211,-0.9629711929
320,8.9441988253,-9.9073537776,-0.9631549523
321,8.9516699861,-9.9145819203,-0.9629119342
322,8.9593027733,-9.9226107686,-0.9633079953
323,8.9671015351,-9.9302996107,-0.9631980756
324,8.9750733055,-9.9382474337,-0.9631741282
325,8.9832236783,-9.9462838856,-0.9630602073
326,8.9915557293,-9.9544863234,-0.9629305941
327,9.0000748701,-9.9629193198,-0.9628444497
328,9.0087892108,-9.9717038617,-0.9629146509
329,9.0177041942,-9.9809010358,-0.9631968416
330,9.0268226393,-9.9899597907,-0.9631371514
331,9.0361506575,-9.9999035505,-0.9637528930
332,9.0456945920,-10.0092142474,-0.9635196553
333,9.0554599430,-10.0186767010,-0.9632167580
334,9.0654510788,-10.0285407872,-0.9630897083
335,9.0756715946,-10.0385405845,-0.9628689899
336,9.0861256699,-10.0493972989,-0.9632716290
337,9.0968197789,-10.0603718007,-0.9635520219
338,9.1077602933,-10.0709644738,-0.9632041805
339,9.1189502031,-10.0819099324,-0.9629597293
340,9.1303915678,-10.0935765805,-0.9631850127
341,9.1420907532,-10.1052926829,-0.9632019297
342,9.1540531405,-10.1171731532,-0.9631200127
343,9.1662814350,-10.1296917017,-0.9634102668
344,9.1787801805,-10.1421682543,-0.9633880738
345,9.1915550542,-10.1545503170,-0.9629952628
346,9.2046084822,-10.1681082409,-0.9634997587
347,9.2179411683,-10.1809859244,-0.9630447561
348,9.2315561840,-10.1949615975,-0.9634054134
349,9.2454563890,-10.2092764657,-0.9638200767
350,9.2596458667,-10.2230508791,-0.9634050124
351,9.2741266389,-10.2376526239,-0.9635259850
352,9.2888996857,-10.2523536034,-0.9634539177
353,9.3039669505,-10.2674502098,-0.9634832593
354,9.3193304163,-10.2825730067,-0.9632425904
355,9.3349919192,-10.2982994235,-0.9633075044
356,9.3509530157,-10.3142254916,-0.9632724759
357,9.3672117392,-10.3301954499,-0.9629837107
358,9.3837682728,-10.3467771004,-0.9630088276
359,9.4006242448,-10.3640586354,-0.9634343906
360,9.4177798936,-10.3808055568,-0.9630256632
361,9.4352343609,-10.3986692156,-0.9634348547
362,9.4529852443,-10.4162596445,-0.9632744002
363,9.4710312785,-10.4342932501,-0.9632619716
364,9.4893740783,-10.4525299340,-0.9631558557
365,9.5080099436,-10.4714360970,-0.9634261534
366,9.5269345519,-10.4904679572,-0.9635334053
367,9.5461462592,-10.5095842111,-0.9634379519
368,9.5656417289,-10.5289057572,-0.9632640283
369,9.5854188057,-10.5490666430,-0.9636478374
370,9.6054745415,-10.5687547064,-0.9632801649
371,9.6258054902,-10.5893891747,-0.9635836844
372,9.6464063794,-10.6099813139,-0.9635749344
373,9.6672757695,-10.6306278768,-0.9633521073
374,9.6884099756,-10.6518458731,-0.9634358975
375,9.7098015584,-10.6730119687,-0.9632104103
376,9.7314454797,-10.6950057510,-0.9635602713
