N,threads,time_full,time_cell,time_cell_manhat,time_nbl,time_full_pt,time_cell_mt,time_manh_pt,time_nbl_pt,su_cell,su_cell_manhat,su_nbl,su_full_pt,su_cell_mt,su_manh_pt,su_nbl_pt,fastest_method,fastest_time
1024,1,0.871496,0.301854,0.230432,0.027223,1.779484,0.180506,0.154990,0.059217,2.89,3.78,32.01,0.49,4.83,5.62,14.72,NEIGHBOR-LIST,0.027223
1024,2,0.869045,0.281482,0.229116,0.026764,1.021782,0.114780,0.102589,0.054274,3.09,3.79,32.47,0.85,7.57,8.47,16.01,NEIGHBOR-LIST,0.026764
1024,4,0.871442,0.286004,0.227200,0.026402,0.663658,0.088042,0.080655,0.054168,3.05,3.84,33.01,1.31,9.90,10.80,16.09,NEIGHBOR-LIST,0.026402
1024,8,0.872126,0.291190,0.234332,0.025943,0.728967,0.114142,0.102588,0.067303,3.00,3.72,33.62,1.20,7.64,8.50,12.96,NEIGHBOR-LIST,0.025943
1024,16,0.869820,0.298466,0.227741,0.026746,0.812331,0.151142,0.153202,0.090827,2.91,3.82,32.52,1.07,5.75,5.68,9.58,NEIGHBOR-LIST,0.026746
2048,1,3.462393,0.896077,0.795198,0.186470,7.237523,0.543455,0.492098,0.279302,3.86,4.35,18.57,0.48,6.37,7.04,12.40,NEIGHBOR-LIST,0.186470
2048,2,3.465646,0.899024,0.796893,0.220039,3.885524,0.353477,0.321887,0.223872,3.85,4.35,15.75,0.89,9.80,10.77,15.48,NEIGHBOR-LIST,0.220039
2048,4,3.457392,0.898877,0.804139,0.220915,2.200118,0.224748,0.204083,0.158719,3.85,4.30,15.65,1.57,15.38,16.94,21.78,NBL PTHREAD,0.158719
2048,8,3.547123,0.897779,0.808400,0.224935,2.299193,0.236014,0.223482,0.152792,3.95,4.39,15.77,1.54,15.03,15.87,23.22,NBL PTHREAD,0.152792
2048,16,3.459421,0.906694,0.799412,0.200266,2.437638,0.287349,0.264093,0.184483,3.82,4.33,17.27,1.42,12.04,13.10,18.75,NBL PTHREAD,0.184483
4096,1,13.806571,3.001058,2.711009,0.895091,27.477694,1.579375,1.489940,1.151895,4.60,5.09,15.42,0.5,8.74,9.27,11.99,NEIGHBOR-LIST,0.895091
4096,2,13.843720,3.004096,2.717109,0.899822,14.520772,0.949560,0.899938,0.914066,4.61,5.10,15.38,0.95,14.58,15.38,15.15,NEIGHBOR-LIST,0.899822
4096,4,13.885820,2.999562,2.711207,0.899515,8.360861,0.575914,0.544874,0.575859,4.63,5.12,15.44,1.66,24.11,25.48,24.11,MANHATTAN CELL-LIST,0.544874
4096,8,13.818219,3.000549,2.714715,0.893452,7.206090,0.556873,0.537088,0.486752,4.61,5.09,15.47,1.92,24.81,25.73,28.39,NBL PTHREAD,0.486752
4096,16,14.111156,3.132651,2.720748,0.896813,7.168288,0.565018,0.559734,0.467265,4.50,5.19,15.73,1.97,24.97,25.21,30.20,NBL PTHREAD,0.467265
8192,1,55.429044,9.717650,9.886107,3.506154,109.819060,5.225019,5.095644,4.511108,5.70,5.61,15.81,0.5,10.61,10.88,12.29,NEIGHBOR-LIST,3.506154
8192,2,55.110627,9.773627,9.933147,3.513902,58.614610,3.060160,3.005897,3.408510,5.64,5.55,15.68,0.94,18.01,18.33,16.17,MANHATTAN CELL-LIST,3.005897
8192,4,55.292265,9.778850,9.918446,3.503975,32.957799,1.782034,1.717428,2.126816,5.65,5.57,15.78,1.68,31.03,32.19,26.00,MANHATTAN CELL-LIST,1.717428
8192,8,55.214211,9.712292,9.956609,3.489744,25.601941,1.500495,1.458736,1.517458,5.68,5.55,15.82,2.16,36.80,37.85,36.39,MANHATTAN CELL-LIST,1.458736
8192,16,55.092857,9.742629,9.889795,3.531289,26.082200,1.523504,1.468414,1.394154,5.65,5.57,15.60,2.11,36.16,37.52,39.52,NBL PTHREAD,1.394154
16384,1,225.384285,32.646610,37.192789,15.528932,437.496958,18.602004,18.359913,17.770380,6.90,6.06,14.51,0.52,12.12,12.28,12.68,NEIGHBOR-LIST,15.528932
16384,2,220.386460,32.519575,37.019756,15.518217,234.702979,10.480760,10.281371,13.240339,6.78,5.95,14.20,0.94,21.03,21.44,16.65,MANHATTAN CELL-LIST,10.281371
16384,4,220.403846,32.468508,37.063346,15.486718,134.860813,6.734144,6.255533,8.079719,6.79,5.95,14.23,1.63,32.73,35.23,27.28,MANHATTAN CELL-LIST,6.255533
16384,8,220.173772,32.410488,37.024999,15.509242,100.424317,5.042665,4.999509,5.541532,6.79,5.95,14.20,2.19,43.66,44.04,39.73,MANHATTAN CELL-LIST,4.999509
16384,16,220.224160,32.493184,37.103866,15.560508,101.367703,4.987287,4.932312,4.853077,6.78,5.94,14.15,2.17,44.16,44.65,45.38,NBL PTHREAD,4.853077
