N,threads,time_full,time_cell,time_cell_manhat,time_nbl,time_full_pt,time_cell_mt,time_manh_pt,time_nbl_pt,su_cell,su_cell_manhat,su_nbl,su_full_pt,su_cell_mt,su_manh_pt,su_nbl_pt,fastest_method,fastest_time
1024,1,0.846041,0.292672,0.256796,0.024824,1.773673,0.155004,0.154039,0.058316,2.89,3.29,34.08,0.48,5.46,5.49,14.51,"NEIGHBOR-LIST",0.024824
1024,2,0.860843,0.277028,0.253817,0.025550,1.025102,0.099606,0.101639,0.058283,3.11,3.39,33.69,0.84,8.64,8.47,14.77,"NEIGHBOR-LIST",0.025550
1024,4,0.870772,0.294066,0.261249,0.025506,0.681217,0.083098,0.082160,0.055895,2.96,3.33,34.14,1.28,10.48,10.60,15.58,"NEIGHBOR-LIST",0.025506
1024,8,0.870833,0.298423,0.264314,0.025586,0.734116,0.102958,0.102986,0.066793,2.92,3.29,34.04,1.19,8.46,8.46,13.04,"NEIGHBOR-LIST",0.025586
1024,16,0.872446,0.294754,0.265459,0.025513,0.815095,0.152523,0.150691,0.094402,2.96,3.29,34.20,1.07,5.72,5.79,9.24,"NEIGHBOR-LIST",0.025513
2048,1,3.466726,0.905712,0.827625,0.130320,7.220781,0.513976,0.483950,0.293090,3.83,4.19,26.60,0.48,6.74,7.16,11.83,"NEIGHBOR-LIST",0.130320
2048,2,3.463649,0.894099,0.830841,0.194650,3.911161,0.335079,0.319900,0.233457,3.87,4.17,17.79,0.89,10.34,10.83,14.84,"NEIGHBOR-LIST",0.194650
2048,4,3.460924,0.893272,0.832263,0.195304,2.301772,0.203598,0.203932,0.164367,3.87,4.16,17.72,1.50,17.00,16.97,21.06,"NBL PTHREAD",0.164367
2048,8,3.460247,0.891314,0.832053,0.195086,2.194016,0.227246,0.227089,0.153931,3.88,4.16,17.74,1.58,15.23,15.24,22.48,"NBL PTHREAD",0.153931
2048,16,3.463535,0.887417,0.828330,0.194411,2.300299,0.273650,0.264856,0.214011,3.90,4.18,17.82,1.51,12.66,13.08,16.18,"NEIGHBOR-LIST",0.194411
4096,1,13.822883,3.000979,2.726043,0.888368,27.497161,1.572625,1.472333,1.164980,4.61,5.07,15.56,0.50,8.79,9.39,11.87,"NEIGHBOR-LIST",0.888368
4096,2,13.811344,3.012974,2.718924,0.889462,14.504659,0.936451,0.881663,0.891119,4.58,5.08,15.53,0.95,14.75,15.67,15.50,"MANHATTAN CELL-LIST",0.881663
4096,4,13.799987,2.999038,2.723258,0.894050,8.375442,0.570491,0.540220,0.577389,4.60,5.07,15.44,1.65,24.19,25.55,23.90,"MANHATTAN CELL-LIST",0.540220
4096,8,13.842651,3.000579,2.721533,0.886717,7.201664,0.538259,0.534474,0.480392,4.61,5.09,15.61,1.92,25.72,25.90,28.82,"NBL PTHREAD",0.480392
4096,16,13.809109,3.000908,2.732069,0.888258,7.018395,0.561847,0.543434,0.466541,4.60,5.05,15.55,1.97,24.58,25.41,29.60,"NBL PTHREAD",0.466541
8192,1,55.062448,9.706529,3.395127,3.495793,109.476053,5.243526,0.664576,4.504494,5.67,16.22,15.75,0.50,10.50,82.85,12.22,"MANHATTAN CELL-LIST",0.664576
8192,2,55.105275,9.735111,3.396662,3.497216,57.857140,3.045843,0.430995,3.410108,5.66,16.22,15.76,0.95,18.09,127.86,16.16,"MANHATTAN CELL-LIST",0.430995
8192,4,55.097256,9.723135,3.394902,3.491138,33.113527,1.827395,0.331384,2.107306,5.67,16.23,15.78,1.66,30.15,166.26,26.15,"MANHATTAN CELL-LIST",0.331384
8192,8,55.256804,9.698043,3.370667,3.489721,25.433094,1.494973,0.404649,1.560451,5.70,16.39,15.83,2.17,36.96,136.55,35.41,"MANHATTAN CELL-LIST",0.404649
8192,16,55.142735,9.706838,3.399581,3.492673,26.132625,1.512720,0.547753,1.381861,5.68,16.22,15.79,2.11,36.45,100.67,39.90,"MANHATTAN CELL-LIST",0.547753
